,DEL16p11_2,DEL16p11_2,DEL16p11_2,DEL1q21_1,DEL1q21_1,DEL1q21_1
,Loss/train,Loss/test,Accuracy/test,Loss/test,Accuracy/test,Loss/train
43,8.10917513805689e-05,0.07091885130580815,92.3076923076923,0.14722349609414412,80.0,0.0001923175384685961
44,0.00019475065058305451,0.07145937244027203,92.3076923076923,0.14537418702296484,80.0,0.000166041082862232
45,0.00011201577664415176,0.11346388527502528,92.3076923076923,0.14681035750760843,80.0,0.00015241383598514678
46,0.0001744277834267276,0.07284375223698045,92.3076923076923,0.14514204486192459,80.0,7.610235226903096e-05
47,7.894179321399316e-05,0.11589085880569125,92.3076923076923,0.2952095359358174,80.0,5.35209458480761e-05
48,6.267717695870367e-05,0.07328326126944593,92.3076923076923,0.13509088240137135,80.0,0.0001212961885547439
49,0.00019452424009662122,0.07378124556588057,92.3076923076923,0.13522362881069244,80.0,0.00011143790530422702
50,0.00023855773407822412,0.07427777397802465,92.3076923076923,0.1465013164496123,80.0,0.0001487866326194728
51,1.8305718158163846e-05,0.07412858107567012,92.3076923076923,0.14694721435014702,80.0,0.00012742384520668778
52,4.5600919898958463e-05,0.07482121631912497,92.3076923076923,0.1365418523516957,80.0,9.673160768358019e-05
53,0.00012795900511201644,0.07571072016589274,92.3076923076923,0.3015938970940277,80.0,0.0001227583206761729
54,0.0002402269066604624,0.07525382932444648,92.3076923076923,0.13678475575371646,80.0,0.00016894220423630853
55,3.190593434774451e-05,0.07607133124956035,92.3076923076923,0.13758052956929434,80.0,0.00010168294259221302
56,3.4715101787908284e-05,0.12074320678631403,92.3076923076923,0.14838766545655316,80.0,0.00012333383508366516
57,4.6823833899973205e-05,0.0769660675763112,92.3076923076923,0.14034829075589633,80.0,5.73066469182289e-05
58,9.0903025095958e-05,0.07660735183367913,92.3076923076923,0.13857190663003624,80.0,7.870629334977445e-05
59,6.735032704191805e-05,0.12176772399902949,92.3076923076923,0.1515011498913497,80.0,9.63624745890747e-05
60,5.507330332395849e-05,0.07796254275638487,92.3076923076923,0.15150119804250511,80.0,7.436739578364064e-05
61,1.0411581296617462e-05,0.07824530041935882,92.3076923076923,0.37351909585295606,80.0,8.362400743618655e-05
