,SZ,SZ,SZ,DEL16p11_2,DEL16p11_2,DEL16p11_2
,Loss/train,Loss/test,Accuracy/test,Loss/test,Accuracy/test,Loss/train
27,0.0027499859634430063,0.11219057477628468,81.10236220472441,0.1281493701996024,66.66666666666666,0.935592063133488
28,0.24957808440253784,0.1544833203327537,73.22834645669292,0.13535451684405425,41.66666666666667,0.43831460215697227
29,0.015003218121289389,0.1778441307454168,78.74015748031496,0.15738605634008804,58.333333333333336,0.6662076767850338
30,6.195482168136551e-05,0.14583837655928292,85.8267716535433,0.18388245344198492,75.0,0.41854176612793736
31,8.4462657335614e-06,0.2062467495129016,78.74015748031496,0.2795634523432539,75.0,0.2670427757702284
32,0.4786123805574685,0.13290395141996203,82.67716535433071,0.11519644781604836,58.333333333333336,0.25407333359154627
33,0.00015877934884862938,0.2719296132814021,72.44094488188976,0.16627476073518485,50.0,0.30736866520559686
34,0.0012889265559303217,0.16670985937988575,76.37795275590551,0.10561774672684517,50.0,0.44851869192963084
35,0.07542677904390628,0.12397108382799993,79.52755905511812,0.10786034796538013,58.333333333333336,0.6326793749743179
36,0.0006242270338699758,0.180006814403875,80.31496062992126,0.11176038140442768,58.333333333333336,0.7153489181903167
37,0.6043412599095886,0.12457678513782068,82.67716535433071,0.11492436457882282,66.66666666666666,0.045189665020671184
38,0.00014712340724959985,0.2602707092697823,76.37795275590551,0.20532783022023518,33.33333333333333,0.8062930497271716
39,0.00024152793807657538,0.22126669147442193,76.37795275590551,0.163157416683438,50.0,0.024967065290876354
40,0.000224621993095809,0.18909018176860387,79.52755905511812,0.22725932614383595,83.33333333333334,0.09827236910793392
41,1.0167580221168987e-06,0.24225161655989433,79.52755905511812,0.24284696088414648,41.66666666666667,1.834063530777188
42,0.0002477520983914613,0.17451800052481595,80.31496062992126,0.23707309894590275,75.0,0.06964559640955759
43,0.0004035794210387779,0.13355566638809582,81.88976377952756,0.10556879489166911,66.66666666666666,0.13189556949614217
44,0.00013641523312817893,0.24971317351857375,75.59055118110236,0.2021225476189461,83.33333333333334,0.00083945647581746
45,8.031906906137045e-05,0.18266756346158544,81.88976377952756,0.1589920547350152,58.333333333333336,0.0029237065302461056
46,0.000612779469700425,0.18410576049728275,77.95275590551181,0.15776041873977298,58.333333333333336,0.0007557247016330703
47,0.0014415011851174778,0.21695590523020075,82.67716535433071,0.2003131197637773,66.66666666666666,0.014214448993210022
48,0.0016439848230139944,0.19589899401157407,75.59055118110236,0.18420324377977315,50.0,0.0062061916065700475
