,DUP16p11_2,DUP16p11_2,DUP16p11_2,DUP1q21_1,DUP1q21_1,DUP1q21_1
,Loss/train,Loss/test,Accuracy/test,Loss/test,Accuracy/test,Loss/train
87,8.035741543258798e-07,0.9467550544573233,42.857142857142854,0.4738822235122277,62.5,3.457095231231302e-07
88,2.1277599535166186e-07,0.9021508823808714,42.857142857142854,0.4746876811198509,62.5,1.24878913791298e-05
89,6.709025267679489e-07,0.9562496567215123,42.857142857142854,0.4823846028982864,62.5,1.2625776554094876e-05
90,8.056049754647742e-07,0.9452473461640588,42.857142857142854,0.4741070110308506,62.5,1.2823906950197536e-05
91,2.4708079208107584e-06,0.9109085012061137,42.857142857142854,0.49192903179398717,62.5,8.149563982570712e-06
92,1.828370074090655e-07,1.0023341554188008,42.857142857142854,0.484081200181496,62.5,6.093140957712539e-07
93,3.106528489598037e-06,0.986508005082699,42.857142857142854,0.4856742050569802,62.5,3.95892374855336e-06
94,1.6511273892297547e-07,1.0119879497424387,42.857142857142854,0.4814166134127646,62.5,1.1146099294262289e-05
95,1.806587564488853e-07,1.001875257086815,42.857142857142854,0.4828002040165611,62.5,4.295551295975904e-08
96,5.547019807532448e-07,1.021887544211385,42.857142857142854,0.48716084829513406,62.5,4.802929373715034e-07
97,1.5156756201788944e-06,1.0651097507392215,35.714285714285715,0.48819397559389854,62.5,1.8303361681436364e-06
98,2.918169906371424e-06,1.099122607179131,35.714285714285715,0.4885361212367557,62.5,4.492408534467139e-06
99,7.301167011931099e-07,1.068098420454346,42.857142857142854,0.48501560835177726,62.5,1.044554393155734e-05
