,DUP22q11_2,DUP22q11_2,DUP22q11_2,DEL16p11_2,DEL16p11_2,DEL16p11_2
,Loss/train,Loss/test,Accuracy/test,Loss/test,Accuracy/test,Loss/train
47,0.00025498805712901906,0.3303526509751212,54.54545454545454,0.31965339390573105,50.0,8.320600283275466e-05
48,0.00014445503110696578,0.2865957241825589,54.54545454545454,0.325658231187728,50.0,0.00026236391306682456
49,0.0002807829419762652,0.32878970721273354,63.63636363636363,0.3158738247346539,50.0,0.00017326245456454834
50,3.38666222376896e-06,0.25871777337804436,63.63636363636363,0.31851664612014174,50.0,0.0003929015746102448
51,0.00025674525618341526,0.2903528675603893,54.54545454545454,0.33003770328666404,50.0,0.00015534836354150233
52,1.1628689042368342e-05,0.21607864613052444,54.54545454545454,0.32482511816019866,50.0,0.00012354554699951035
53,0.00014294177477282521,0.31266804914244184,63.63636363636363,0.3198265800181493,50.0,0.0002452430732942986
54,0.0003921009585413461,0.285108207713171,54.54545454545454,0.33023114257515973,50.0,0.0002018646023725316
55,2.1978608265505762e-06,0.21126633874846493,54.54545454545454,0.33244675940780255,50.0,5.8564291668812885e-05
56,6.350629650269055e-05,0.272570212813976,63.63636363636363,0.32543179182837767,50.0,0.00015319403728322718
57,0.00019600212324189404,0.20428478797910615,54.54545454545454,0.3332458688560167,50.0,0.00017822961232711272
58,0.00023456342334130518,0.1939417079423036,54.54545454545454,0.3432145831301961,50.0,0.00013236961365020356
59,1.4458206531656399e-06,0.2813813727557519,54.54545454545454,0.33945899972406046,50.0,8.056475272585751e-05
60,7.946901374301724e-05,0.23422474419131387,63.63636363636363,0.33021337106634896,50.0,0.00014809199503778672
61,1.539691216694325e-06,0.17976350803832555,54.54545454545454,0.3388766929685868,50.0,0.00013405445672128128
62,0.00015382088882227008,0.18662040784955664,54.54545454545454,0.34602806357720634,50.0,0.00015718603313604542
63,1.999730687943358e-05,0.23211977019981447,54.54545454545454,0.3451594853894547,50.0,6.995080548455092e-05
64,1.1987471031759113e-06,0.20302895180629132,54.54545454545454,0.34102690618377934,50.0,0.00013031535585660697
65,6.878660116321664e-06,0.27552310461676965,54.54545454545454,0.34462171726141666,50.0,9.592849368707848e-05
66,0.0003443567425761599,0.30378845353921885,54.54545454545454,0.3477082294210856,50.0,0.00012121598233272255
67,0.00010495593846705902,0.2845391303633063,54.54545454545454,0.3506483451083944,50.0,8.480177306215984e-05
68,1.1592455814977376e-05,0.30694121785092465,54.54545454545454,0.3488500562430032,50.0,8.160778502317526e-05
69,8.80870599763835e-05,0.34161210096923456,54.54545454545454,0.3477643340689215,50.0,7.708892937175037e-05
70,1.6902693091367537e-05,0.2671725906388667,63.63636363636363,0.3465714123305224,50.0,3.105753899448176e-05
71,4.6629306713460146e-07,0.2882550944548398,54.54545454545454,0.35845386221058784,50.0,8.15642857114624e-05
72,3.2194633661653338e-06,0.1937665676433723,63.63636363636363,0.35298603467859047,50.0,6.850784899691281e-05
73,4.8391718008754055e-06,0.2001085678720907,54.54545454545454,0.35637279080340195,50.0,4.46355019410106e-05
74,3.315361723779191e-05,0.2065114082690066,54.54545454545454,0.354076556902318,50.0,0.00011096934923370444
75,5.565430702017169e-05,0.2749233421275549,54.54545454545454,0.356912525523689,50.0,4.863029835444835e-05
76,6.615221721803306e-05,0.2478928471360162,63.63636363636363,0.35757517085097956,50.0,7.16346323725598e-05
77,3.8025674216105694e-06,0.2663262390062229,63.63636363636363,0.3569843319652331,50.0,5.151020202965509e-05
78,6.229316238843472e-07,0.351791165554254,54.54545454545454,0.3653283696272026,50.0,0.00010367711049270794
79,8.033981808587528e-05,0.37807093870098335,54.54545454545454,0.3624020765002829,50.0,6.943675773865144e-05
80,2.6026935085497873e-06,0.28931789260413027,54.54545454545454,0.36496071921662443,50.0,4.089492166681935e-05
81,2.763727897719875e-05,0.2881265251005712,54.54545454545454,0.3615869827924581,50.0,4.885845968530159e-05
