,NYU,NYU,NYU,ADHD1,ADHD1,ADHD1,ADHD3,ADHD3,ADHD3,ADHD5,ADHD5,ADHD5,ADHD6,ADHD6,ADHD6,HSJ,HSJ,HSJ,SZ1,SZ1,SZ1,SZ2,SZ2,SZ2,SZ3,SZ3,SZ3,SZ6,SZ6,SZ6,Svip1,Svip1,Svip1,Svip2,Svip2,Svip2,UCLA_CB,UCLA_CB,UCLA_CB,UCLA_DS1,UCLA_DS1,UCLA_DS1,UKBB11025,UKBB11025,UKBB11025,UKBB11026,UKBB11026,UKBB11026,UKBB11027,UKBB11027,UKBB11027,USM,USM,USM
,Loss/train,Loss/test,Accuracy/test,Loss/test,Accuracy/test,Loss/train,Loss/test,Accuracy/test,Loss/train,Loss/test,Accuracy/test,Loss/train,Loss/test,Accuracy/test,Loss/train,Loss/test,Accuracy/test,Loss/train,Loss/test,Accuracy/test,Loss/train,Loss/test,Accuracy/test,Loss/train,Loss/test,Accuracy/test,Loss/train,Loss/test,Accuracy/test,Loss/train,Loss/test,Accuracy/test,Loss/train,Loss/test,Accuracy/test,Loss/train,Loss/test,Accuracy/test,Loss/train,Loss/test,Accuracy/test,Loss/train,Loss/test,Accuracy/test,Loss/train,Loss/test,Accuracy/test,Loss/train,Loss/test,Accuracy/test,Loss/train,Loss/test,Accuracy/test,Loss/train
9,2.801643260594501,8.049840282887102,0.0,0.39909154405557873,0.0,10.4988402469759,0.41820336268806435,0.0,1.795889728086885,1.4275036975753705,0.0,8.805084724564225,0.17583313108607912,0.0,8.766392619791914,23.17320054531111,0.0,249.58657481598635,10.633586545943812,0.0,9.371727111564848,2.488301093356613,0.0,44.20824756214594,8.344871101064532,0.0,66.64514492363942,5.05753705948848,0.0,49.6939642397387,40.98367345233036,0.0,125.83298520778027,10.65752199303184,0.0,33.85801227307218,1.8774302294147205,0.0,19.137107313558083,11.763703495540005,0.0,195.5881912063213,13.78486821974036,0.0,130.59039485090904,61.82387291443756,0.0,97.97489756489995,47.596839187053796,0.0,85.59862241137161,4.800375920436953,0.0,46.38549655877162
10,1.0878453295361452,6.855399773685586,0.0,0.31648555118878935,0.0,0.26299035045561353,0.4463504569860374,0.0,4.279186826263458,1.193094543458579,0.0,4.939836144239379,0.6128526949999445,0.0,9.430683411031836,18.18063194968472,0.0,26.633341854075887,7.82041057392661,0.0,12.654734065644664,5.2625951101346296,0.0,22.777381918535337,19.07125840058119,0.0,111.8493897664806,6.29578966249339,0.0,117.4700867997391,50.64827106068141,0.0,74.52319772740401,14.097272204262548,0.0,70.67182271754099,1.806770942177049,0.0,71.49407192203985,18.43472839077914,0.0,252.74339827191184,26.09626287139655,0.0,91.55162621249693,6.644422584036297,0.0,166.1079380692035,27.440234758294878,0.0,87.83955900304636,10.885988551376341,0.0,10.413254374420402
11,85.59435835706867,9.935027717604758,0.0,1.7954523640424476,0.0,41.09256687405168,1.4776152378698324,0.0,43.9343281557786,1.2198305386506607,0.0,6.540123284662331,1.3530026630210448,0.0,4.138844507541458,18.331086073620412,0.0,57.07536875656769,12.973355047427773,0.0,52.58795956686646,12.892734458514342,0.0,31.40648345391896,10.71891463938162,0.0,78.85795814755879,9.548169600023002,0.0,48.00740101950344,40.96415765935011,0.0,62.04008538866852,11.043794850841632,0.0,55.1841206191017,2.2424478876337774,0.0,30.123014192564735,8.04987297208703,0.0,36.863735850203646,44.80317670724919,0.0,53.70509988021998,48.324764923121165,0.0,131.5524176328067,54.25034098306414,0.0,114.97690927446679,16.693403827789634,0.0,38.55828340192257
12,15.494790818121917,10.099832089927464,0.0,0.35058890042547375,0.0,5.335727397066286,0.37938971176704067,0.0,8.323953513633494,0.9845679380029282,0.0,13.542340101907172,1.1982225834111948,0.0,8.18306797767663,22.41695651173478,0.0,15.502246317935041,21.516089971773763,0.0,92.28354291402712,8.49144898051491,0.0,75.18737270231829,9.90312899937537,0.0,127.58770980757971,4.51640297307512,0.0,47.83608266679062,59.21210535561395,0.0,67.23980696459975,14.582922257109265,0.0,7.144456891985374,6.090627316893099,0.0,33.00233284282068,7.052938417098375,0.0,9.40081963246734,10.076142390153802,0.0,48.54404366754251,9.841160706466601,0.0,60.02398441101716,36.29754318230326,0.0,66.51183788349977,6.223317077308578,0.0,30.51004860188489
13,31.821400086760917,8.438036934859708,0.0,0.6508588456877955,0.0,3.9828555606822675,0.9025926703840521,0.0,16.975111745597523,1.1072528557083694,0.0,9.747558052505713,0.4305802129476706,0.0,14.655821814774688,21.023730426244438,0.0,48.62853801775834,9.325981607969842,0.0,19.21744771301119,3.921562329877511,0.0,39.7669337462554,10.098626611347708,0.0,39.93103857281477,5.007581675051237,0.0,47.82435963424652,25.036938873319208,0.0,41.82844213236914,8.067338308400922,0.0,43.96177356320027,5.088803620288872,0.0,10.487924456580322,9.42076981434567,0.0,43.86708398068823,29.433173890372757,0.0,101.71099551677561,31.3978547462395,0.0,12.245046591938028,29.88531770196071,0.0,55.89575006180958,7.6336168920188845,0.0,17.620298328328204
14,0.7620347869649773,11.376445692479132,0.0,1.1866965359954529,0.0,7.522347447806656,1.3731505167112026,0.0,3.5095744801486966,1.1065039562607526,0.0,2.92106979294583,1.9376852441479373,0.0,31.763615083413576,14.643107639747349,0.0,40.54242459260828,18.620931256706,0.0,5.511921966089418,23.526615226140706,0.0,29.169812971435505,16.94326861891135,0.0,15.730611363940113,5.399639487007405,0.0,27.297582713376375,47.55332249680507,0.0,16.5558450821037,10.57513044010987,0.0,1.1755292901873187,2.929083120613974,0.0,0.6442542753378168,8.437546627220291,0.0,38.64430673494511,17.230312090967033,0.0,206.68363995654565,22.80297127356976,0.0,65.27646932464891,32.21009376158957,0.0,298.03513898029587,6.66645977883503,0.0,8.870923015907382
15,0.921734352153995,8.4080494991162,0.0,0.4440505127418484,0.0,13.75352018931943,1.019795025186501,0.0,0.9373920807439997,4.267762321885251,0.0,62.093368697908716,0.2940653914513327,0.0,4.223934430916869,16.018777535695733,0.0,61.82681095104313,9.287826234337267,0.0,69.81759012307089,4.430596796644988,0.0,58.00659883238062,13.580358151082933,0.0,20.273312041117464,14.518602990808507,0.0,129.47369211507691,26.84080105875923,0.0,23.15192799575307,9.620699540994098,0.0,35.71664610434398,7.318362608500918,0.0,8.861330778530146,22.88478028416079,0.0,14.667035641329432,21.341630469108722,0.0,159.49611006173174,8.37917932788452,0.0,19.96892766576964,31.57831751837253,0.0,358.45434085728573,7.143252581295058,0.0,14.643150357178238
16,3.0687577214267305,11.903353624875349,0.0,0.21329963238924926,0.0,7.408024352523263,0.6518497574915735,0.0,6.8006044404454435,1.2039826768910955,0.0,14.83158050677198,0.3385053681405472,0.0,5.300982230327591,35.44664984368135,0.0,54.24201843375263,5.627220977798575,0.0,0.15824978697984018,3.263779981547029,0.0,19.855082297312094,15.907444715634181,0.0,23.737227331445318,7.011523022604973,0.0,26.3625690477964,46.80879971992643,0.0,84.91227705290879,11.104910278699242,0.0,30.22424977386292,16.199633746293372,0.0,77.19065342900592,20.547977481056645,0.0,80.4849690562338,11.817192423305455,0.0,93.03514662559208,8.70979836008937,0.0,63.73756130569479,20.213038819613125,0.0,15.178246845097467,10.751660492502326,0.0,71.1284903308713
17,2.218678072885603,6.227516977333809,0.0,0.4288755350789563,0.0,2.446131729719179,1.4800125431206965,0.0,18.870676222486626,0.9019279943628017,0.0,3.799643430984255,0.32084808286695377,0.0,7.053494213974468,13.826740789849048,0.0,16.413104746243853,14.403980924713961,0.0,100.30795218508618,8.876650313013606,0.0,22.000595633054218,18.933990098557448,0.0,11.94571838845806,7.3043186051088,0.0,52.340509426926,96.76690714292386,0.0,44.9147040990181,9.585857140804006,0.0,12.562973341311874,1.1483210335932894,0.0,6.283755395585944,6.981482625338361,0.0,18.704161454078893,9.838902860266549,0.0,198.11546714838437,7.31427012963012,0.0,81.1602898462383,16.713901164706787,0.0,29.823248402267424,9.555806118651399,0.0,43.34437878568698
18,19.00613453426864,11.514173509318018,0.0,1.9022537400858837,0.0,2.9700070154703924,1.165890272623166,0.0,3.058274035805327,0.9716136916475999,0.0,7.9324130212310875,0.5055577173068712,0.0,3.5430146439334034,28.9346434365704,0.0,48.50115987335376,5.141192129286941,0.0,25.25428558572391,5.04348353534245,0.0,33.74278478255508,15.694179281423773,0.0,27.954340090661418,10.70218839413378,0.0,46.860813269725476,30.695778111226673,0.0,44.04758867366462,10.393912601688552,0.0,14.329712909199978,1.8325310746854915,0.0,21.636327053796165,9.207992422856748,0.0,30.946171622855207,8.625831510278584,0.0,31.73998617154543,13.991691110927011,0.0,42.61389723332411,41.32538775519227,0.0,36.49695760999886,6.40005271591108,0.0,31.330908856339338
19,5.734235881798887,11.828490904790574,0.0,0.3196498666307432,0.0,7.370844197646733,0.4132163347677173,0.0,2.2111559265338663,2.567690897356412,0.0,1.0432141819440304,0.449437015561687,0.0,5.236513747187305,40.65917535111341,0.0,47.03250491934255,33.500164553603895,0.0,27.20393643285099,3.90657011565254,0.0,18.649529266151138,27.2662539144828,0.0,20.75227833220041,7.767156568403137,0.0,5.9061004528999375,38.526652795755446,0.0,7.91868212848783,9.415654788692247,0.0,36.067210729237004,22.520121857647617,0.0,20.72907326538799,16.01255738695169,0.0,41.93650977710511,45.971529937076824,0.0,210.50529503002923,14.410578154393582,0.0,19.593479338096092,30.177449771731084,0.0,91.99430893494281,12.610131602467574,0.0,7.953590727009372
20,32.09921638089785,6.441008982273351,0.0,0.23650429914052715,0.0,4.54951676240733,0.5896750684165769,0.0,2.4047591077567203,1.0478466817387886,0.0,2.956519899168393,0.35841102582771567,0.0,1.8547014112429099,21.67433766144106,0.0,21.204987835097203,17.059690394180716,0.0,8.051932309073559,5.908278305302226,0.0,16.352594002211877,22.865503267425193,0.0,12.93320371194594,6.906905341408042,0.0,21.94506410443325,31.962157559322048,0.0,13.535321192246231,14.66707159848034,0.0,71.68038092688182,2.8572631069241683,0.0,3.678589619554102,9.989304806297335,0.0,12.451484796672354,16.21656510313796,0.0,36.68433944331667,11.091318207438311,0.0,45.67654629061541,26.126769992251127,0.0,68.04735125866247,7.844941945143063,0.0,31.849819177327312
21,4.639568354635974,7.543936526933758,0.0,1.324745175402313,0.0,11.0532210746697,0.5534189259924203,0.0,3.954471108590516,2.1188392344368117,0.0,8.02009964082169,0.34300036575161524,0.0,10.978636731709676,24.486441623890087,0.0,43.12009612115903,18.86459671664537,0.0,62.58161492884488,2.6466350042582305,0.0,16.59432509052349,22.53144827087841,0.0,17.773512530756648,6.298733811619337,0.0,33.543080903150674,39.08362574081248,0.0,1.9053842729005768,6.654658085246097,0.0,20.36472650601633,2.504173091598454,0.0,12.09921357576193,14.140656169534562,0.0,7.921323346795282,11.082931379817797,0.0,87.18163190563939,8.413750318749548,0.0,10.03930398329383,25.120581792232343,0.0,36.376958576815014,11.281681870532756,0.0,8.990959235544164
22,7.252990403027823,13.95135989408995,0.0,2.849123080941116,0.0,12.178109317023072,0.9416731523882569,0.0,9.713181410886307,5.928805846729664,0.0,6.490589874680564,0.921907724109639,0.0,1.4012369420918898,73.36101201596716,0.0,385.10919370694853,116.9812201787423,0.0,191.23380653590806,3.992319906704238,0.0,11.63291824590472,42.87770144960326,0.0,80.31225544918235,10.568024659860498,0.0,43.87142079940442,124.96640909451526,0.0,72.93433519173472,28.818000085073287,0.0,28.052902043786364,7.4202782807098355,0.0,22.47726498197792,20.22145957610742,0.0,10.072293001727173,96.83751999489104,0.0,180.0948163296918,53.33588361846331,0.0,154.46003290949852,65.6627054098084,0.0,125.29395707747436,23.454203612809895,0.0,14.461651964432072
23,8.848781029950283,5.953103218262741,0.0,0.29509313737244613,0.0,0.3359598043066927,1.3305561654244655,0.0,2.394756581482606,2.311597524792677,0.0,1.405609690427865,0.31270531484562053,0.0,2.74480085163234,50.343233073652115,0.0,59.476794627786,6.573205743872826,0.0,20.778335125947,6.375303124892844,0.0,14.921905041495283,18.38948051459189,0.0,25.610021746755052,8.437008570427379,0.0,1.594212887345447,39.70356327399283,0.0,23.29286639714231,8.638747060137181,0.0,14.913021075406036,1.888955973164037,0.0,12.438498549356549,7.195304847346198,0.0,18.329871763717502,17.566683146464673,0.0,10.478298190995506,10.810208386467346,0.0,12.91836103765544,17.415655792849584,0.0,43.98016323361974,6.6065641613647115,0.0,53.68137011483389
24,24.58626818679293,7.813647549878228,0.0,0.378767906087105,0.0,4.828898077405012,3.6815901918628575,0.0,1.1523165943114568,1.0097918507703039,0.0,17.613042150155213,0.3212647943971835,0.0,3.4935036821300534,21.908472303433822,0.0,17.48831994277132,13.531979085937955,0.0,65.4183859429802,10.146244551195538,0.0,24.025004598750687,16.2142806585714,0.0,26.961680953262928,6.785351088180827,0.0,42.36476645901298,39.93262726832471,0.0,25.125045119597427,6.443335209815667,0.0,3.5909141667755167,3.8641410187947915,0.0,3.4861943617401936,14.184476791564734,0.0,38.03463547953094,15.154531228691116,0.0,5.128669493030035,14.200589252466552,0.0,43.044973461758396,20.464425829629334,0.0,48.94541385696602,8.799775098645593,0.0,39.47170781299416
25,3.672780452837075,8.242956213832695,0.0,3.165180910855661,0.0,25.203489499131447,2.133476902005595,0.0,11.594921390811965,1.2219057105854403,0.0,1.3292705409946761,0.3242148327362474,0.0,2.4406435325856948,23.280278519530768,0.0,107.34583361954985,11.650511313161717,0.0,43.46781658147578,3.3564373364503886,0.0,21.251470291466106,17.885524321958762,0.0,12.90843164829963,5.516086637394335,0.0,19.409990511795698,68.92130156787877,0.0,29.917160830189413,6.326143971817094,0.0,16.081189931545147,2.3589854198752636,0.0,1.1032107678692327,9.092400216404567,0.0,19.49135901261999,9.994415638145801,0.0,55.16294548908239,32.430060792298434,0.0,30.486894610245088,21.872838418609206,0.0,30.275112206065856,9.299004181115865,0.0,7.7774282056454425
26,145.08113945201322,21.279647787915103,0.0,4.154393051811646,0.0,37.57514714180734,4.023297947479107,0.0,3.978989313444888,2.2046611014458843,0.0,10.474354560900505,4.272955508986871,0.0,0.39237604096355944,17.533522366281517,0.0,13.929417680707363,34.020335835333356,0.0,268.5831791976988,6.937399069305984,0.0,13.47928064328638,19.841083074725173,0.0,15.614570231177524,6.582279779357082,0.0,38.074893528397496,23.12065499950223,0.0,9.973436215245327,6.541564213024582,0.0,23.241048899359214,15.19876361076783,0.0,89.54537516592984,11.809146065967399,0.0,65.06742866816039,69.35575382506823,0.0,161.4446941264291,15.348786867508545,0.0,29.28943669984275,30.352996724034647,0.0,98.4134017274528,7.823445262495316,0.0,8.934750837443923
