,DEL16p11_2,DEL16p11_2,DEL16p11_2,DUP1q21_1,DUP1q21_1,DUP1q21_1
,Loss/train,Loss/test,Accuracy/test,Loss/test,Accuracy/test,Loss/train
20,0.0237373101324772,0.08657637383826268,68.75,0.49687528251156865,50.0,0.05288966104677567
21,0.07620474670794274,0.08881328357363097,81.25,0.28718687229987117,60.0,0.0036866779669221575
22,1.254923084135118,0.19644708927989485,81.25,0.17971157552980313,70.0,0.04988344555689052
23,0.02761030154435402,0.10417322081211605,62.5,0.27058358404137434,50.0,0.002808497155952056
24,0.018339759638292367,0.06922477010721026,81.25,0.2597831960963144,60.0,0.05904363479478089
25,0.0009187160653778096,0.08358880453937467,87.5,0.17374308107656827,70.0,0.005208423183466435
26,0.0005569354263515664,0.08227411634182509,87.5,0.18394653419409693,70.0,0.0028307092789963692
27,0.0011872827090453045,0.07724835557379921,75.0,0.3008885993262259,70.0,0.0006992988433842449
28,0.0013159622589634747,0.08522092121684077,87.5,0.31304445390348656,70.0,0.0016317886012025312
29,0.0004163464882727076,0.07971424930047144,81.25,0.19294583451860892,70.0,0.0017365149449306333
30,0.001002218891783611,0.07597024325231735,75.0,0.4117044370616799,60.0,0.0008323875209829992
31,0.00032508406149110535,0.09022039526246443,81.25,0.19344177522147551,70.0,0.0008420209076453278
32,0.0004869177836494725,0.0799689960926351,81.25,0.47164212883701256,70.0,0.0005371187713048863
33,0.0004775985524498821,0.07911327600419286,75.0,0.3331608829714404,70.0,0.0002470162624324956
34,0.0006792844718442236,0.08472824156449907,87.5,0.314849910333781,70.0,0.00017445545769727966
35,0.0002416372904152193,0.0820660772648473,81.25,0.34407225034688016,70.0,0.00032104869132413107
36,0.0003408606972460006,0.08157863438689422,81.25,0.493412882828698,70.0,0.0004008082172823429
37,0.00032968711706402064,0.08526569720579051,87.5,0.32270052395057275,70.0,0.0004936072448066024
38,0.0002003978301483727,0.08317352465246264,81.25,0.4852993790367153,70.0,0.00029591180902581687
39,0.0004503193124006392,0.08682712846667576,87.5,0.4880322020103319,70.0,0.0003599770093185357
40,0.00013847310609212818,0.08381340230849237,81.25,0.19872133084424673,70.0,0.0003003378744100064
41,0.00021883648289486548,0.08514354717278386,87.5,0.34925761625214813,70.0,0.00032901189909801835
42,0.000112913612875257,0.08580315916312979,87.5,0.34619491510551026,70.0,0.00012422125505931163
43,0.00021936804019769544,0.08626238447750766,87.5,0.19803933162875142,70.0,0.00020477334756567044
44,0.00021410798238880851,0.08497402365450553,75.0,0.4915510366263137,70.0,0.00017520675559086387
45,8.697969805512231e-05,0.08832911225404207,87.5,0.46934869931188716,70.0,0.00024142964637794198
46,6.619147354204677e-05,0.08960267138284252,87.5,0.3159123201487904,70.0,0.00012800523211950574
47,0.00020177205951191028,0.08819939020997947,87.5,0.20518348059392283,70.0,9.714010860365467e-05
48,0.0002214453086487438,0.08839164390558901,87.5,0.19942867331576242,70.0,3.767849577553237e-05
49,0.0001752769363388931,0.08622335530442435,75.0,0.5032687336115187,70.0,0.00015050230408960447
50,0.00013896316251880506,0.09115998881800402,87.5,0.2025925483262861,70.0,0.00015605939311246538
