,SZ,SZ,SZ,DEL16p11_2,DEL16p11_2,DEL16p11_2
,Loss/train,Loss/test,Accuracy/test,Loss/test,Accuracy/test,Loss/train
26,0.00020578367176569303,0.2332577165582487,71.25,0.086556709280206,75.0,0.009134696138879295
27,0.0003482698567372781,0.24943356146892218,69.375,0.07987651360466705,87.5,0.03163090327652472
28,0.0008191551921623419,0.25394877101990443,71.25,0.12166391898938993,62.5,0.009940809666154739
29,0.00017563963271906153,0.2257888305687635,71.25,0.12107604573820102,62.5,0.006630288312592591
30,0.2806736110576094,0.3853331052862122,63.125,0.15157686862851458,75.0,0.44929757446673324
31,4.66547139510858e-05,0.2745775960699414,72.5,0.12761296236391473,68.75,0.2847986663804626
32,0.0015345328257678021,0.2963090975547577,65.625,0.6004033965391659,50.0,0.0386294426295058
33,0.011665995334539457,0.3400711877142416,66.875,0.10899759813477869,87.5,0.006831765856177922
34,0.010573333374008363,0.21482853454101028,73.75,0.12958626221368746,56.25,0.053103071001423516
35,0.0004036391461882522,0.1926843981775534,70.625,0.31898950242773016,43.75,0.04022873959064551
36,0.016377758505470318,0.25157171515189686,70.625,0.08881358049494326,81.25,0.0010480553443168617
37,2.927464406762729e-05,0.26839984511800646,71.25,0.10678424848569189,81.25,0.001110749439169752
38,6.637874652788894e-05,0.3149441929081783,70.625,0.1615006427495665,68.75,0.0028036836979105618
39,4.3411554474954484e-05,0.30084491898394916,71.875,0.12443501818123696,68.75,0.0008176665316985142
40,8.725693422801138e-06,0.29285587829216186,68.125,0.25065339967696554,43.75,9.920407206438351e-05
41,0.00011640371995776463,0.333825862776633,70.625,0.1038696090081887,75.0,0.0003413564548948693
42,2.6503381620203073e-05,0.3268026541045148,70.0,0.12434723203529077,68.75,0.00036899962271326746
43,1.0898715719027865e-05,0.3411866928482508,70.625,0.11080531721902079,81.25,0.0001599334178079957
44,1.8883450794851103e-05,0.3414183324107866,70.625,0.11367862378491643,81.25,0.00026923600700071545
45,3.276718667513413e-06,0.348374384225787,70.625,0.11363046585773873,81.25,0.00015199904900063354
46,5.231620827628274e-06,0.35072465933141206,70.625,0.1155374453727229,81.25,0.00027131425175250186
47,6.886249849342515e-06,0.35851165475780894,70.625,0.11350107942852541,81.25,0.0002161493979753228
48,1.7249923834891605e-06,0.36246711077444094,70.625,0.11368420972687905,81.25,0.00017476177671979973
49,1.2474306577684712e-05,0.3711260495854037,70.0,0.11244660179232978,81.25,6.65445563398874e-05
50,4.293672644402868e-06,0.37394210440220416,70.625,0.11141367278804785,81.25,2.808922732163743e-05
51,9.666844016538208e-07,0.380269702057373,70.0,0.1110690799287481,81.25,8.38066356103537e-05
52,1.474843353328419e-06,0.3779211863930613,70.0,0.11477401759012242,87.5,6.058579481789763e-05
53,1.0068849363670124e-07,0.39077257068757143,70.0,0.11126810346687555,81.25,3.3720142634462715e-05
54,2.2953623051685033e-06,0.3891115816734597,70.625,0.11001458824840785,81.25,4.934417362639419e-05
55,1.0547071585737653e-06,0.3898621588515264,70.0,0.10985039636876472,81.25,2.827891875098884e-05
56,4.3526036733008774e-07,0.39353775406282077,70.0,0.10959208547263305,81.25,0.00012388581094047114
57,2.9062425085129366e-05,0.39408225552981285,70.0,0.11053591671392321,87.5,2.4569208539848033e-05
58,3.1444929590358536e-07,0.39711700860530685,70.0,0.10975563835352835,81.25,6.283425276081071e-05
59,4.635599266837886e-07,0.4017880374832594,70.0,0.11020270756195076,81.25,2.1864259260419254e-05
60,5.174125107769077e-07,0.399063480739681,70.0,0.1106354045974473,81.25,7.250718614257242e-06
61,2.1172925368814584e-07,0.40022564134984806,70.0,0.11078002629279521,81.25,5.3163591993520955e-05
62,5.0261944426477316e-08,0.40100233749216735,70.625,0.11053344737929527,81.25,6.720095984577332e-05
63,2.805491766031441e-06,0.40472520433327774,70.0,0.11077317572429007,81.25,3.848635407151881e-05
64,1.8678697344032362e-05,0.4060111577855001,70.0,0.1111132382658335,81.25,1.2119467270321628e-05
65,1.4404201741145184e-07,0.3999084246477627,70.625,0.11447226429931093,87.5,1.0099815182098779e-05
66,4.1748808704128344e-07,0.40815750980833576,70.0,0.11141647075233055,81.25,3.724622783647104e-05
67,1.478895317106651e-07,0.40564699220375144,70.625,0.11194379688724351,81.25,3.5859342955111084e-05
68,4.492387374923445e-06,0.4087246884581296,69.375,0.11169737278114061,81.25,1.876784577134128e-05
69,1.1130028740314911e-07,0.4082820608489118,70.0,0.11191236833099648,81.25,2.2919212928218845e-05
70,3.6363351022645355e-08,0.40941334410647984,70.0,0.11216561150076088,81.25,2.3288654219769143e-05
71,3.6073702091005456e-06,0.4096095115804075,70.0,0.11252281225180327,81.25,1.9081072393179246e-05
72,1.26649821969371e-06,0.4109849335887141,70.0,0.11294924810663379,81.25,2.5176190550594415e-05
73,1.3422546724203058e-08,0.41334005397505746,70.0,0.11287328812344277,81.25,2.7163972203579683e-05
74,4.731734591827243e-06,0.41158322877604386,70.0,0.1134829512898817,81.25,1.1577720596624937e-05
75,2.540068223485188e-07,0.4120768325327444,70.0,0.11370833810305286,81.25,8.131924742451646e-06
76,5.291644303419338e-07,0.41249996362064223,70.625,0.11382876061168118,81.25,7.420155386054254e-06
77,9.72250393371643e-08,0.41675668003785915,70.0,0.11449856498882814,81.25,1.0044932405901063e-05
78,5.170665051381891e-06,0.4131467481413128,70.625,0.11462149512630175,81.25,1.703872954123803e-05
79,5.3917536986161687e-08,0.41740337469987326,70.0,0.11488761396976768,81.25,1.1123180523322907e-05
80,3.332688183407268e-07,0.4163582553537942,70.625,0.11523461598064938,81.25,1.8016848895874247e-05
81,4.835032563619752e-09,0.422914973863992,69.375,0.11653325931589897,81.25,9.599391441290168e-06
82,5.921612817723094e-06,0.41495110353456005,70.625,0.11639111859995943,81.25,9.786414960180335e-06
83,1.7814637206752057e-06,0.41739864232538987,70.625,0.11619772379591717,81.25,5.011175117464946e-06
84,2.4875707562636953e-08,0.42084139838298623,69.375,0.11649538142912069,81.25,1.5823442738364207e-05
85,2.9027226044178712e-08,0.419908471880016,70.0,0.11660254667668973,81.25,4.749049350239217e-06
86,1.3068142682306613e-06,0.41913980212591256,70.625,0.11719085457021851,81.25,1.0098307165167097e-05
87,3.0378113981664393e-07,0.4216146648006768,70.0,0.11721871040717076,81.25,1.0469245635659844e-05
88,1.9048992409025805e-06,0.4182889245650707,70.625,0.11843430178203246,81.25,1.767766999197464e-05
89,2.684748999174458e-07,0.42457919818065487,70.0,0.11881833152235091,81.25,1.618034209394517e-05
90,7.181129403761235e-09,0.4231090821754931,70.0,0.1180347714874763,81.25,8.520949136518024e-06
91,4.385598391773222e-06,0.42672427327134355,70.0,0.11915119634582522,81.25,6.58939095714141e-06
92,2.4031473741686805e-08,0.4240159358079897,70.625,0.118913520173524,81.25,1.2913694577272688e-05
93,3.933158258096051e-08,0.4213279139337297,70.625,0.1198431579670946,81.25,8.786568553858102e-06
94,1.5837506411017386e-06,0.42207670774996436,70.625,0.11927093760090238,81.25,5.425562356277829e-06
95,7.350592847281948e-08,0.42252224557162366,70.625,0.11940813813506218,81.25,1.2369273736982139e-05
96,8.348842197466552e-07,0.42674208982836026,70.0,0.1193632301198608,81.25,1.0157664760128713e-05
97,5.432743769621422e-07,0.4286216376810571,70.0,0.11971699013083557,81.25,5.998315111970657e-06
98,2.2693525216765143e-07,0.4289351879857988,70.0,0.11989961611779644,81.25,9.280461212818734e-06
99,1.226157210854943e-07,0.4266003132348353,70.0,0.12076832408378699,81.25,7.651048080141058e-06
