,DUP16p11_2,DUP16p11_2,DUP16p11_2,DEL16p11_2,DEL16p11_2,DEL16p11_2
,Loss/train,Loss/test,Accuracy/test,Loss/test,Accuracy/test,Loss/train
79,2.6490982703143107e-09,0.3586234564158918,75.0,0.3518976731073049,58.333333333333336,2.5425382370508354e-06
80,6.054619698416598e-07,0.3492461459330105,50.0,0.3414305218868012,62.5,3.374004952714587e-06
81,8.052454803592358e-07,0.3434967316435791,50.0,0.3347063789401415,62.5,2.0427504702179517e-07
82,3.3071585525378903e-06,0.34925928276059637,50.0,0.34131917655749494,62.5,4.386461052998831e-06
83,2.425363369500919e-08,0.34679449163206594,50.0,0.3381151017368689,62.5,6.049167613596714e-07
84,3.3768019431786493e-09,0.3550290727084543,75.0,0.3466276668819995,62.5,3.4320669474308436e-07
85,6.341622863249867e-07,0.3555205773612924,75.0,0.34693723447667374,62.5,3.347879460250843e-06
86,8.68583466151643e-07,0.348073493317292,50.0,0.3384521256281355,62.5,7.385089907363224e-07
87,7.076433506202131e-08,0.34804707589033523,50.0,0.33836406313307155,62.5,1.3511423694316138e-06
88,5.330437794873834e-08,0.3451685791891704,50.0,0.33493971495193287,62.5,1.185207159363165e-06
89,1.6279381003710714e-06,0.3460773470260587,50.0,0.33622165996000947,62.5,1.3047132542518595e-06
90,2.4571303385625786e-07,0.3461336538760183,50.0,0.33602558976641755,62.5,3.596195384070891e-07
91,4.718119770625341e-09,0.35448489946462847,75.0,0.3442691359730996,62.5,1.1756817339377389e-06
92,7.904421305088464e-08,0.35113560121537923,50.0,0.3404465227509938,62.5,1.8460475797857125e-06
93,1.5542001373908048e-08,0.3593889558140694,75.0,0.34824891422907434,62.5,2.199114577633341e-06
94,8.880020057722462e-06,0.3480765745266995,50.0,0.3358087426634633,62.5,3.899741431016146e-07
95,4.026907279165054e-08,0.3909787842766804,75.0,0.3720674642483997,58.333333333333336,1.5350098872883102e-06
96,2.68352527603737e-07,0.37332427446394056,75.0,0.354963741036886,58.333333333333336,8.644583894468103e-07
97,3.168167842109872e-07,0.35904521518451693,75.0,0.3416087916733715,62.5,2.4567242172660254e-07
98,7.222906538705843e-08,0.35782819808673816,75.0,0.34025522048513096,62.5,1.0849907921053453e-06
99,4.4719783431886003e-13,0.3571504505001006,75.0,0.33943758433468924,62.5,1.1333781311744526e-06
