,UKBB11025,UKBB11025,UKBB11025,UKBB11025,UKBB11025,UKBB11025,UKBB11025
,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test
67,1.2729736834424502e-05,2.996552502726978,60.0,0.8125,0.75,0.75,0.75
68,5.066009330439519e-06,3.0042050221117114,60.0,0.6166666666666667,0.619047611951828,0.75,0.5833333432674408
69,2.4691868338256365e-06,3.01020678900804,60.0,0.5833333333333333,0.619047611951828,0.75,0.5833333432674408
70,1.0518763764128571e-05,3.017197010182643,60.0,0.84375,0.3333333432674408,0.30000001192092896,0.375
71,3.667362768411699e-06,3.0204392477486386,60.0,0.84375,0.3333333432674408,0.30000001192092896,0.375
72,1.1825098663199265e-05,3.022228399560008,60.0,0.8125,0.75,0.75,0.75
73,8.48649570851441e-06,3.0275472387712616,60.0,0.8125,0.3333333432674408,0.30000001192092896,0.375
74,1.836812890731969e-05,3.03397606633829,60.0,0.7166666666666667,0.375,0.5,0.30000001192092896
75,4.9374902020831265e-06,3.0389349621441446,60.0,0.8125,0.3333333432674408,0.30000001192092896,0.375
76,1.8645114747616802e-06,3.04639297910667,60.0,0.375,0.375,0.375,0.375
77,9.728848687836986e-07,3.0484508869242126,60.0,0.84375,0.619047611951828,0.5833333432674408,0.75
78,9.165675656334876e-07,3.0527074188526564,60.0,0.65,0.3333333432674408,0.375,0.30000001192092896
79,7.493190145874801e-06,3.056089380534705,60.0,0.5833333333333333,0.3333333432674408,0.375,0.30000001192092896
80,2.1558487961716724e-05,3.060701614431063,60.0,0.78125,0.75,0.75,0.75
81,2.3150715235922656e-05,3.06353947656864,60.0,0.84375,0.619047611951828,0.5833333432674408,0.75
82,1.220811574542936e-05,3.0640988422619637,60.0,0.65,0.375,0.30000001192092896,0.5
83,1.8034433982953144e-05,3.0659035473909944,60.0,0.84375,0.619047611951828,0.5833333432674408,0.75
84,2.3132908107836074e-06,3.073592668969369,60.0,0.40625,0.619047611951828,0.5833333432674408,0.75
85,1.2316478096952068e-06,3.0763636083361448,60.0,0.55,0.3333333432674408,0.375,0.30000001192092896
86,1.4036981062535376e-06,3.078906003014521,60.0,0.5166666666666666,0.30000001192092896,0.30000001192092896,0.30000001192092896
87,1.1783282028009944e-06,3.082827467955268,60.0,0.375,0.375,0.375,0.375
88,1.1793251651044977e-05,3.0881982162947907,60.0,0.8125,0.75,0.75,0.75
89,7.608182066406016e-07,3.091289687125942,60.0,0.84375,0.619047611951828,0.5833333432674408,0.75
90,3.825205556055967e-07,3.094782509856482,60.0,0.65,0.3333333432674408,0.375,0.30000001192092896
91,5.963739154654607e-06,3.0952302029189216,60.0,0.6166666666666667,0.619047611951828,0.75,0.5833333432674408
92,5.055601692318483e-06,3.0997548792894216,60.0,0.5833333333333333,0.3333333432674408,0.375,0.30000001192092896
93,2.5301013350416033e-06,3.102504786081262,60.0,0.65,0.375,0.30000001192092896,0.5
94,1.5798640131119132e-05,3.103646553725181,60.0,0.65,0.375,0.30000001192092896,0.5
95,1.2405332109268283e-06,3.1085279972662674,60.0,0.40625,0.619047611951828,0.5833333432674408,0.75
96,8.573704390392645e-06,3.1104565913518236,60.0,0.34375,0.3333333432674408,0.30000001192092896,0.375
97,1.0454602388844825e-05,3.1137871104238166,60.0,0.55,0.6666666716337204,0.6666666716337204,0.6666666716337204
