,DEL1q21_1,DEL1q21_1,DEL1q21_1,DEL1q21_1,DEL1q21_1,DEL1q21_1,DEL1q21_1
,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test
25,0.00021137528668805928,4.206625692275049,50.0,0.7,0.722222238779068,0.75,0.7000000029802322
26,0.0001453150142147921,3.808303505192111,50.0,0.26666666666666666,0.3333333432674408,0.375,0.30000001192092896
27,0.0002190587695952555,3.4992358542763733,50.0,0.16666666666666666,0.30000001192092896,0.30000001192092896,0.30000001192092896
28,9.086816317629927e-05,3.356984415103961,50.0,0.23333333333333334,0.5833333432674408,0.5833333432674408,0.7000000029802322
29,8.073715241373907e-05,3.3250569613251018,50.0,0.26666666666666666,0.3333333432674408,0.375,0.30000001192092896
30,6.72291162051954e-05,3.401856513381678,50.0,0.5,0.5833333432674408,0.75,0.5
31,5.53660958555415e-05,3.5197034295746845,50.0,0.53125,0.3333333432674408,0.30000001192092896,0.375
32,4.7066688675299804e-05,3.619028967008782,50.0,0.7,0.722222238779068,0.75,0.7000000029802322
33,4.1422187643405294e-05,3.6582190896128735,50.0,0.4375,0.5833333432674408,0.75,0.5
34,5.423796981312052e-05,3.678162595097329,50.0,0.5,0.30000001192092896,0.375,0.25
35,3.074684360929099e-05,3.688653568196397,50.0,0.2,0.30000001192092896,0.30000001192092896,0.30000001192092896
36,4.926272944283932e-05,3.6808169520100575,50.0,0.3,0.3333333432674408,0.375,0.30000001192092896
37,3.66587638895725e-05,3.668307101284771,50.0,0.46875,0.5833333432674408,0.75,0.5
38,5.218563051146539e-05,3.6674938314127195,50.0,0.53125,0.3333333432674408,0.30000001192092896,0.375
39,6.396700113232591e-05,3.6638282811931786,50.0,0.375,0.6428571343421936,0.6666666716337204,0.625
40,2.8340941449586193e-05,3.673018500738178,50.0,0.40625,0.5833333432674408,0.75,0.5
41,3.1552401428929837e-05,3.692297652287338,50.0,0.23333333333333334,0.5833333432674408,0.5833333432674408,0.7000000029802322
42,4.513935224052411e-05,3.7069792274290014,50.0,0.7,0.5833333432674408,0.5833333432674408,0.7000000029802322
43,6.347464394953856e-05,3.7025780138120643,50.0,0.6666666666666666,0.30000001192092896,0.30000001192092896,0.30000001192092896
44,3.067155937055629e-05,3.7237550286944496,50.0,0.6333333333333333,0.722222238779068,0.75,0.7000000029802322
45,2.11958784570221e-05,3.728813345333626,50.0,0.7,0.722222238779068,0.75,0.7000000029802322
