,SZ,SZ,SZ,DEL1q21_1,DEL1q21_1,DEL1q21_1
,Loss/train,Loss/test,Accuracy/test,Loss/test,Accuracy/test,Loss/train
29,0.0001031495888491119,0.23454946091965406,67.96875,0.78177614395971,60.0,0.7957784106065287
30,0.0001936091323344882,0.23528273738740405,74.21875,0.13349051063418022,50.0,0.6308115276179069
31,0.0012204728526658093,0.2969974135115842,68.75,0.49265360183320156,70.0,0.6668909455661245
32,0.00034241184378853317,0.2552998547369138,73.4375,0.27801278674076896,70.0,0.7677197489196034
33,0.004833579956106989,0.2512353326184828,67.96875,0.2623619250838872,60.0,0.3599768667900432
34,0.00040365901725640513,0.25575253870531406,69.53125,0.15962934299642098,50.0,1.404207485057095
35,0.235631214401019,0.15538593604316187,67.96875,0.1537795559874669,50.0,0.37254596279996516
36,0.012645255935000809,0.20251597315573636,68.75,0.5537035988752207,40.0,0.5425141224074661
37,0.0003651344019336185,0.26268710476963153,66.40625,0.31571344637709997,50.0,0.6320947334010447
38,0.0002007432913309976,0.2538910122464518,71.875,0.6047517993080846,60.0,0.23886018094071776
39,0.002313035423481128,0.2519281407239397,75.0,0.1501341459507745,70.0,0.06893541603545054
40,0.002319226557531233,0.30508071888014565,70.3125,0.4046801035548766,70.0,0.09391267013886893
41,0.004737462430327327,0.29119300452583424,74.21875,0.2897299640992236,60.0,0.8257817619760665
42,0.7014671413233419,0.29161181422257204,67.96875,0.4669026927368381,50.0,1.337701608763416
43,0.00037232014256943606,0.22484470828509134,71.09375,0.19472692062225508,70.0,0.7119377537850444
44,8.901420179044331e-05,0.34062176864104776,67.1875,0.4438085105676385,50.0,0.7633265337287879
45,0.00014622393237594673,0.31888536846684695,68.75,0.24629826798619964,50.0,0.1075352356103967
46,2.3565055098937398e-05,0.34708992345278816,70.3125,0.3090727590992722,70.0,1.2622633902211902
47,0.022946434942324855,0.3077945665201549,68.75,0.1503925090252932,80.0,0.009029229810750413
48,0.003153226762511933,0.2872237792375511,73.4375,0.22989470112086763,60.0,0.07806969487687927
49,0.0020057004001096533,0.25014555109295694,71.09375,0.2097271836283588,70.0,0.012940053554903493
50,7.196138889799979e-05,0.24096510752337452,71.09375,0.35501036420680865,60.0,0.006635964693881031
51,0.009075641049407111,0.28493235913646175,75.0,0.6526784472161987,70.0,0.0002428697733449915
52,3.106204913582788e-05,0.4492846834226401,62.5,0.20182997515039253,70.0,0.00017448867102717356
53,0.5367903381204296,0.31925656652695616,74.21875,0.30909323580408754,70.0,0.00033754662790897995
54,3.810393773796878e-05,0.29508341255011983,73.4375,0.6571404253514073,70.0,0.0001296442169052802
55,2.109338335292758e-06,0.32174724613548167,71.875,0.3574316161736354,70.0,4.9620477119896715e-05
56,2.894316206836929e-07,0.3274731946212237,74.21875,0.3678097655181602,70.0,3.061925040453352e-05
57,1.761295394933418e-05,0.3334740168929265,74.21875,0.4521270288858445,70.0,1.9455225304903602e-05
58,2.478211510921683e-05,0.3383791675235075,73.4375,0.26623989329985226,70.0,2.8041570501938383e-05
59,1.232995116660355e-06,0.34297086427416,73.4375,0.7433851868740522,70.0,1.558823614935568e-05
60,1.7840414949732122e-06,0.3470057118682244,73.4375,0.4999367814203521,70.0,1.1438181958440627e-05
61,1.0199676606789774e-05,0.3515142046863205,74.21875,0.39782657639133623,70.0,6.443016463649396e-06
62,1.2108747820608442e-06,0.3551159568969427,74.21875,0.28282122543015636,70.0,9.718386983665137e-06
63,6.46795641821442e-06,0.3579811092604098,74.21875,0.28776211593649503,70.0,6.459212035607063e-07
64,3.71984571218519e-05,0.3612193430947192,75.0,0.7902645739373982,70.0,1.3385968592080275e-05
65,4.0422695169627693e-07,0.3642812882971656,75.0,0.798866077526618,70.0,1.0703813857603511e-05
66,9.966333702383062e-06,0.3674529868692465,75.0,0.5479654272865996,70.0,2.4189067072701803e-06
67,8.510675819229064e-09,0.37053674800527686,75.0,0.29707561822337036,70.0,2.393928809659138e-06
68,1.8536947551188202e-06,0.3737474570901072,75.0,0.41184869677996927,70.0,2.8932561217526297e-06
69,1.7384230060202417e-06,0.37703176425221485,75.0,0.8211741923406993,70.0,2.079324237752314e-06
