,DUP16p11_2,DUP16p11_2,DUP16p11_2,DUP16p11_2,DUP16p11_2,DUP16p11_2,DUP16p11_2
,Loss/train,Loss/test,Accuracy/test,AUC/test,F1/test,Precision/test,Recall/test
22,0.001309511899927264,1.0021084962211761,64.28571428571429,0.875,0.6500000059604645,0.8333333432674408,0.6666666716337204
23,0.0007096150536839772,1.0498674070143375,64.28571428571429,0.59375,0.619047611951828,0.8333333432674408,0.5
24,0.0005656921467288027,1.0759944925499998,64.28571428571429,0.6000000000000001,0.6190476417541504,0.8333333432674408,0.533333346247673
25,0.000995338113261415,1.023632795436265,64.28571428571429,0.75,0.6500000059604645,0.8333333432674408,0.6666666716337204
26,0.0009269819789028213,1.0985735070359743,64.28571428571429,0.6333333333333333,0.5833333432674408,0.875,0.46666668355464935
27,0.0006015745083308921,1.0638703994957923,64.28571428571429,0.6555555555555556,0.5833333432674408,0.875,0.46666668355464935
28,0.0005297509402782292,1.07432429785217,64.28571428571429,0.625,0.5750000029802322,0.875,0.5
29,0.0004204475688616524,1.1102018518764203,64.28571428571429,0.6444444444444444,0.5833333432674408,0.875,0.46666668355464935
30,0.0011232326798201833,1.0972705168251513,64.28571428571429,0.71875,0.619047611951828,0.8333333432674408,0.5
31,0.0008734809851847071,1.0755406749117573,64.28571428571429,0.4,0.6500000059604645,0.8333333432674408,0.533333346247673
32,0.0004002218850904275,1.175471171524397,64.28571428571429,0.6666666666666666,0.6500000059604645,0.8333333432674408,0.533333346247673
33,0.00029609632604763966,1.1447623084064935,64.28571428571429,0.5333333333333333,0.5952380895614624,0.875,0.6000000014901161
34,0.00033375074654247357,1.1470056275194036,64.28571428571429,0.5625,0.4000000059604645,0.5,0.3333333432674408
35,0.0003148476885813753,1.1840048808196415,64.28571428571429,0.65625,0.5952381044626236,0.75,0.5
36,0.00036689783305557345,1.1657633276384267,64.28571428571429,0.6875,0.619047611951828,0.8333333432674408,0.5
37,0.00044590572538603576,1.2549980514639254,64.28571428571429,0.59375,0.619047611951828,0.8333333432674408,0.5
38,0.0005379021651564274,1.1855335521873214,64.28571428571429,0.7916666666666667,0.5833333432674408,0.75,0.5
39,7.831635002754464e-05,1.3107182419914047,64.28571428571429,0.6,0.5750000029802322,0.75,0.46666668355464935
40,0.00018257876724209578,1.2220992763893856,64.28571428571429,0.7333333333333334,0.5750000029802322,0.75,0.46666668355464935
41,0.00015851642130366807,1.2545751576812239,64.28571428571429,0.625,0.5750000029802322,0.875,0.5
42,0.000191412238343621,1.2811977627961586,64.28571428571429,0.7916666666666667,0.5833333432674408,0.75,0.5
43,0.00017902904162207776,1.2400716681259714,64.28571428571429,0.5833333333333334,0.6333333551883698,0.875,0.5
44,0.00019373510116729638,1.2827506354531704,64.28571428571429,0.7333333333333334,0.5750000029802322,0.75,0.46666668355464935
45,7.962093102580497e-05,1.294211573438258,64.28571428571429,0.5625,0.619047611951828,0.8333333432674408,0.5
46,0.00016610401239167233,1.2888759347176706,64.28571428571429,0.6888888888888889,0.6500000059604645,0.8333333432674408,0.533333346247673
47,0.00021681043788593452,1.2727541409884762,64.28571428571429,0.65625,0.5750000029802322,0.875,0.5
48,0.0001611783717920293,1.330040475422311,64.28571428571429,0.6875,0.619047611951828,0.8333333432674408,0.5
49,0.00014841734464867893,1.2867758263414442,64.28571428571429,0.7,0.5750000029802322,0.75,0.46666668355464935
50,6.31941241552823e-05,1.2990450781808691,64.28571428571429,0.6875,0.5952381044626236,0.75,0.5
51,9.623707550713893e-05,1.317432357199282,64.28571428571429,0.6000000000000001,0.6190476417541504,0.8333333432674408,0.533333346247673
52,7.281982254906168e-05,1.3174853815460494,64.28571428571429,0.6666666666666666,0.5833333432674408,0.875,0.46666668355464935
53,8.754783446481336e-05,1.3257660342905884,64.28571428571429,0.6555555555555556,0.5750000029802322,0.75,0.46666668355464935
54,7.774819849937906e-05,1.3264373022901823,64.28571428571429,0.59375,0.5750000029802322,0.875,0.5
55,6.568945438394456e-05,1.334083351891081,64.28571428571429,0.59375,0.5952381044626236,0.75,0.5
56,4.173443631746823e-05,1.3501649887637777,64.28571428571429,0.7333333333333334,0.5750000029802322,0.75,0.46666668355464935
57,0.00010073779000402972,1.3440222814377993,64.28571428571429,0.65625,0.619047611951828,0.8333333432674408,0.5
58,7.871949363092513e-05,1.362292793217452,64.28571428571429,0.6888888888888889,0.6500000059604645,0.8333333432674408,0.533333346247673
59,7.697702366836573e-05,1.3591120891153399,64.28571428571429,0.71875,0.619047611951828,0.8333333432674408,0.5
60,6.930950186110277e-05,1.3697829974508031,64.28571428571429,0.6555555555555556,0.5833333432674408,0.875,0.46666668355464935
61,6.96132738031161e-05,1.3666759198023972,64.28571428571429,0.5666666666666667,0.6190476417541504,0.8333333432674408,0.533333346247673
62,5.0275572560344e-05,1.375795588713734,64.28571428571429,0.4791666666666667,0.3636363744735718,0.4000000059604645,0.3333333432674408
63,4.27175654165234e-05,1.393949312058926,64.28571428571429,0.6333333333333333,0.5833333432674408,0.875,0.46666668355464935
64,5.098844593260911e-05,1.379597015020212,64.28571428571429,0.6888888888888889,0.40000003576278687,0.4000000059604645,0.4000000059604645
65,4.729547883863984e-05,1.38793086976013,64.28571428571429,0.6666666666666666,0.5750000029802322,0.75,0.46666668355464935
66,3.3757835401696315e-05,1.3856365208606545,64.28571428571429,0.6777777777777778,0.6190476417541504,0.8333333432674408,0.533333346247673
67,3.015203277424882e-05,1.4016655932845374,64.28571428571429,0.6875,0.5952381044626236,0.75,0.5
68,3.6141821242055546e-05,1.3910629553277407,64.28571428571429,0.8666666666666667,0.6190476417541504,0.8333333432674408,0.533333346247673
69,2.060165089155505e-05,1.4204829672337895,64.28571428571429,0.6458333333333333,0.5833333432674408,0.75,0.5
70,3.0553749054792175e-05,1.4103129686749152,64.28571428571429,0.6875,0.619047611951828,0.8333333432674408,0.5
71,4.0324512535843e-05,1.3866375885021451,64.28571428571429,0.7,0.5750000029802322,0.75,0.46666668355464935
72,2.7345059229988227e-05,1.41525899692463,64.28571428571429,0.65625,0.5750000029802322,0.875,0.5
73,2.669427382988038e-05,1.4188217708065616,64.28571428571429,0.6666666666666667,0.6500000059604645,0.8333333432674408,0.6666666716337204
74,1.5695868037195272e-05,1.4136668743011163,64.28571428571429,0.7,0.5750000029802322,0.75,0.46666668355464935
75,1.8747152435720556e-05,1.4150076393247446,64.28571428571429,0.6,0.444444477558136,0.5,0.4000000059604645
76,2.1600362329449616e-05,1.429555602698817,64.28571428571429,0.711111111111111,0.6500000059604645,0.8333333432674408,0.533333346247673
77,3.109075290037297e-05,1.428983370417962,64.28571428571429,0.7708333333333333,0.6500000059604645,0.8333333432674408,0.6666666716337204
78,2.8435029218365535e-05,1.4210835080090551,64.28571428571429,0.625,0.5750000029802322,0.875,0.5
79,2.776945279662508e-05,1.425174891676131,64.28571428571429,0.65625,0.5750000029802322,0.875,0.5
80,2.0980959077249133e-05,1.4268308590354426,64.28571428571429,0.7333333333333334,0.5952380895614624,0.875,0.6000000014901161
81,3.733020423085415e-05,1.4410299730696257,64.28571428571429,0.6555555555555556,0.5750000029802322,0.75,0.46666668355464935
